id,s206_cl_dispensed,s208_dispprob,s209_dispprob_cas_padlk,s210_dispprob_tnk_vlv,s211_dispprob_stker_tag_paint,s212_nut,month_survey,year_survey,s009_country,s011_prgrm
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,12,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,12,2017,1,Matunda
,1,0,,,,,12,2017,1,Matunda
,1,0,,,,,12,2017,1,Matunda
,1,0,,,,,12,2017,1,Matunda
,1,0,,,,,12,2017,1,Matunda
,1,0,,,,,12,2017,1,Matunda
,1,0,,,,,12,2017,1,Matunda
,1,0,,,,,12,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,0,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,12,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,12,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,12,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,12,2017,1,Matunda
,1,0,,,,,12,2017,1,Matunda
,1,0,,,,,12,2017,1,Matunda
,1,0,,,,,12,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,12,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,12,2017,1,Matunda
,1,0,,,,,12,2017,1,Matunda
,1,0,,,,,12,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,12,2017,1,Matunda
,1,0,,,,,12,2017,1,Matunda
,1,0,,,,,12,2017,1,Matunda
,1,0,,,,,12,2017,1,Matunda
,1,0,,,,,12,2017,1,Matunda
,1,0,,,,,12,2017,1,Matunda
,1,0,,,,,12,2017,1,Matunda
,1,0,,,,,12,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,12,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,12,2017,1,Matunda
,1,0,,,,,11,2017,1,Matunda
,1,0,,,,,12,2017,1,Matunda
,1,0,,,,,12,2017,1,Matunda
,1,0,,,,,12,2017,1,Matunda
,1,0,,,,,11,2017,1,Awendo
,1,0,,,,,11,2017,1,Awendo
,1,0,,,,,11,2017,1,Awendo
,1,0,,,,,11,2017,1,Awendo
,1,0,,,,,11,2017,1,Awendo
,1,0,,,,,11,2017,1,Awendo
,1,0,,,,,11,2017,1,Awendo
,1,0,,,,,11,2017,1,Awendo
,1,0,,,,,11,2017,1,Awendo
,1,0,,,,,11,2017,1,Awendo
,1,0,,,,,11,2017,1,Awendo
,1,0,,,,,11,2017,1,Awendo
,1,0,,,,,11,2017,1,Awendo
,1,0,,,,,11,2017,1,Awendo
,1,0,,,,,11,2017,1,Awendo
,1,0,,,,,11,2017,1,Awendo
,1,0,,,,,11,2017,1,Awendo
,1,0,,,,,11,2017,1,Awendo
,1,0,,,,,11,2017,1,Awendo
,1,0,,,,,11,2017,1,Awendo
,1,0,,,,,11,2017,1,Awendo
,1,0,,,,,11,2017,1,Awendo
,1,0,,,,,11,2017,1,Awendo
,1,0,,,,,11,2017,1,Awendo
,1,0,,,,,11,2017,1,Awendo
,1,0,,,,,11,2017,1,Awendo
,1,0,,,,,11,2017,1,Awendo
,1,0,,,,,11,2017,1,Awendo
,1,0,,,,,11,2017,1,Awendo
,1,0,,,,,11,2017,1,Awendo
,1,0,,,,,11,2017,1,Awendo
,1,0,,,,,11,2017,1,Awendo
,1,0,,,,,11,2017,1,Awendo
,1,0,,,,,11,2017,1,Awendo
,1,0,,,,,11,2017,1,Awendo
,1,0,,,,,11,2017,1,Awendo
,1,0,,,,,11,2017,1,Awendo
,1,0,,,,,11,2017,1,Awendo
,1,0,,,,,11,2017,1,Awendo
,1,0,,,,,11,2017,1,Awendo
,1,0,,,,,11,2017,1,Awendo
,1,0,,,,,11,2017,1,Awendo
,1,0,,,,,11,2017,1,Awendo
,1,0,,,,,11,2017,1,Awendo
,1,0,,,,,11,2017,1,Awendo
,1,0,,,,,11,2017,1,Awendo
,1,0,,,,,11,2017,1,Awendo
,1,0,,,,,11,2017,1,Awendo
,1,0,,,,,11,2017,1,Awendo
,1,0,,,,,11,2017,1,Awendo
,1,0,,,,,11,2017,1,Awendo
,1,0,,,,,11,2017,1,Awendo
,1,0,,,,,11,2017,1,Awendo
,1,0,,,,,11,2017,1,Awendo
,1,0,,,,,11,2017,1,Awendo
,1,0,,,,,11,2017,1,Awendo
,0,0,,,,,11,2017,1,Awendo
,1,0,,,,,11,2017,1,Awendo
,1,0,,,,,11,2017,1,Awendo
,1,0,,,,,11,2017,1,Awendo
,1,0,,,,,11,2017,1,Awendo
,1,0,,,,,11,2017,1,Awendo
,1,0,,,,,11,2017,1,Awendo
,1,0,,,,,11,2017,1,Awendo
,1,1,1,0,0,0,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,,,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,,,1,0,0,0,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,1,0,1,0,0,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,1,1,0,0,0,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,1,0,1,0,0,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,,,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,,,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,,0,,,,,11,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,,,1,0,0,0,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,1,1,0,0,0,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,0,0,,,,,12,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,,,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,,,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,12,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
,1,0,,,,,11,2017,1,Busia
